Produced from MIDL 1D BATSRUS MHD at x=32.00 Re (nT, km/s, cm^-3, K)

#COORDINATES
GSM

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  9  2 30  0   0      0.33      1.62     -1.53   -465.61     -2.40     -0.92    3.1012   211129.9
2024  5  9  2 31  0   0      0.24      1.65     -1.49   -464.76     -2.64     -0.45    3.2116   218198.0
2024  5  9  2 32  0   0      0.18      1.76     -1.56   -464.99     -3.01     -0.18    3.2802   224448.4
2024  5  9  2 33  0   0      0.06      2.00     -1.71   -464.91     -2.73     -0.31    3.2458   220826.6
2024  5  9  2 34  0   0     -0.13      2.24     -1.79   -464.36     -2.78     -1.02    3.1887   209816.1
2024  5  9  2 35  0   0     -0.20      2.32     -1.81   -464.36     -2.76     -1.58    3.1240   203152.3
2024  5  9  2 36  0   0     -0.11      2.18     -1.73   -466.09     -2.47     -0.73    2.9617   204127.8
2024  5  9  2 37  0   0     -0.01      2.15     -1.63   -466.54     -2.21      0.13    2.8857   206155.1
2024  5  9  2 38  0   0     -0.15      2.30     -1.43   -466.11     -2.37     -1.82    2.8629   204162.6
2024  5  9  2 39  0   0     -0.39      2.56     -1.09   -466.42     -2.74     -5.36    2.8682   197267.9
2024  5  9  2 40  0   0     -0.40      2.80     -0.86   -467.02     -2.60     -5.56    2.9681   189496.5
2024  5  9  2 41  0   0     -0.25      2.96     -0.71   -467.84     -2.36     -3.54    3.1862   183476.8
2024  5  9  2 42  0   0     -0.10      2.90     -0.88   -467.95     -1.42     -3.64    3.4386   178935.8
2024  5  9  2 43  0   0     -0.15      2.73     -0.95   -466.84     -0.40     -5.08    3.5231   178682.3
2024  5  9  2 44  0   0     -0.31      2.66     -0.62   -464.69     -0.31     -7.19    3.4665   184450.6
2024  5  9  2 45  0   0     -0.47      2.65     -0.35   -462.95     -0.54     -6.73    3.3235   192169.3
2024  5  9  2 46  0   0     -0.55      2.63     -0.32   -463.73     -0.81     -5.69    3.0846   195684.2
2024  5  9  2 47  0   0     -0.66      2.70     -0.33   -466.71      0.13     -7.26    3.0054   202953.5
2024  5  9  2 48  0   0     -0.72      2.75     -0.24   -468.55      1.37     -9.90    2.9851   210558.2
2024  5  9  2 49  0   0     -0.72      2.71     -0.12   -468.71      2.24    -12.29    2.9526   211201.1
2024  5  9  2 50  0   0     -0.71      2.51     -0.27   -468.12      2.82     -8.11    2.9627   211269.1
